SNP	Phenotype	Gene(Tissues)	Gene(Tissue Count)
rs812738	pheno9	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Putamen_basal_ganglia,Cells_Transformed_fibroblasts,Esophagus_Muscularis,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Skin_Sun_Exposed_Lower_leg,Spleen,Whole_Blood)"	MAPK1(18)
rs81840	pheno9	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Hippocampus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Whole_Blood)"	MAPK1(38)
rs835235	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Thyroid,Uterus,Whole_Blood)"	MAPK1(40)
rs851272	pheno6	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Uterus,Vagina,Whole_Blood),GPRC5D(Artery_Aorta,Cells_EBV-transformed_lymphocytes),ACAP1(Brain_Putamen_basal_ganglia,Colon_Sigmoid,Esophagus_Gastroesophageal_Junction,Thyroid)"	"MAPK1(39),GPRC5D(2),ACAP1(4)"
rs853737	pheno7	"MAPK1(Artery_Tibial,Brain_Cerebellar_Hemisphere,Nerve_Tibial,Pituitary,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Testis)"	MAPK1(7)
rs882037	pheno1	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood)"	MAPK1(48)
rs882653	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Nucleus_accumbens_basal_ganglia,Breast_Mammary_Tissue,Colon_Sigmoid,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pituitary,Skin_Sun_Exposed_Lower_leg,Thyroid,Whole_Blood)"	MAPK1(27)
rs901838	pheno5	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Atrial_Appendage,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Testis,Thyroid),TTC17(Artery_Tibial)"	"MAPK1(24),TTC17(1)"
rs905494	pheno9	"MAPK1(Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Cells_Transformed_fibroblasts,Esophagus_Mucosa,Heart_Left_Ventricle,Prostate)"	MAPK1(6)
rs909107	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Hippocampus,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Stomach,Thyroid,Uterus,Whole_Blood),SCYGR9(Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Pancreas,Testis)"	"MAPK1(28),SCYGR9(6)"
rs938412	pheno4	"MAPK1(Adipose_Subcutaneous,Adrenal_Gland,Esophagus_Mucosa,Esophagus_Muscularis,Nerve_Tibial,Testis,Thyroid)"	MAPK1(7)
rs943798	pheno5	"AIFM1,CRLS1,TRABD2B(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Breast_Mammary_Tissue,Liver,Thyroid),MAPK1(Artery_Aorta,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Pancreas,Pituitary,Small_Intestine_Terminal_Ileum,Testis),MLEC(Brain_Cerebellar_Hemisphere,Cells_Transformed_fibroblasts),TRABD2B(Colon_Transverse),MLEC,TIE1(Esophagus_Mucosa,Skin_Sun_Exposed_Lower_leg),AIFM1,CRLS1,TRABD2B,SP140L(Nerve_Tibial),TRABD2B,MLEC,TIE1(Skin_Not_Sun_Exposed_Suprapubic),CRLS1(Stomach)"	"AIFM1,CRLS1,TRABD2B(5),MAPK1(15),MLEC(2),TRABD2B(1),MLEC,TIE1(2),AIFM1,CRLS1,TRABD2B,SP140L(1),TRABD2B,MLEC,TIE1(1),CRLS1(1)"
rs977440	pheno7	"MAPK1(Brain_Hypothalamus,Cells_Transformed_fibroblasts,Esophagus_Mucosa,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Thyroid,Vagina)"	MAPK1(12)
